pair,support,total_keys,support_ratio,cluster_translation_std_mm,cluster_rotation_std_deg,vs_current_model_dt_mm,vs_current_model_dr_deg,source_counts
0->1,3,4,0.75,0.4025545809434024,0.11562970702797765,42.5421244444216,179.227526558432,"{""ippe0|ippe0"": 2, ""ippe1|ippe0"": 1}"
0->2,8,8,1.0,1.3831257140743847,1.1426397000090913,38.596860731117395,179.6251751959272,"{""ippe0|ippe0"": 7, ""ippe1|ippe1"": 1}"
0->3,5,5,1.0,3.196544973931894,0.7734441785821373,35.499189365957584,178.61657667196002,"{""ippe0|ippe0"": 3, ""ippe0|ippe1"": 2}"
0->4,6,8,0.75,1.2452856601681392,0.23021466004751798,27.381774301157535,179.84798992868872,"{""ippe0|ippe0"": 5, ""ippe1|ippe0"": 1}"
1->0,12,12,1.0,2.123425056274047,0.375403394400768,35.3848439065833,178.89441807455418,"{""ippe0|ippe0"": 11, ""ippe1|ippe0"": 1}"
1->2,7,7,1.0,0.7179575158089465,0.08461253472505663,51.107367799075334,88.96944399376046,"{""ippe0|ippe0"": 6, ""ippe1|ippe1"": 1}"
1->4,5,5,1.0,3.461529264049202,0.29802003495695073,42.62855766238453,2.104399651781345,"{""ippe0|ippe0"": 4, ""ippe1|ippe0"": 1}"
2->0,13,14,0.9285714285714286,3.0832406854989998,1.340924463500991,28.49960488282549,179.52717733543855,"{""ippe0|ippe0"": 13}"
2->1,2,2,1.0,1.4166144931013713,0.11776886267122771,40.8422883600316,158.19718103109977,"{""ippe0|ippe1"": 2}"
2->3,6,6,1.0,0.0,0.0,33.74494104318357,178.70676823645928,"{""ippe0|ippe0"": 6}"
3->0,11,12,0.9166666666666666,6.541056076523895,1.8863571473754457,29.848750869948876,179.5061340514732,"{""ippe1|ippe0"": 1, ""ippe0|ippe0"": 10}"
3->2,14,14,1.0,2.492576577363306,1.1784652970479699,24.49572476393842,178.26273120442266,"{""ippe1|ippe0"": 4, ""ippe0|ippe0"": 9, ""ippe0|ippe1"": 1}"
3->4,1,1,1.0,0.0,0.0,50.01421420143494,89.49638449918234,"{""ippe0|ippe0"": 1}"
4->0,9,9,1.0,3.547028398829566,1.2181625645191851,31.904552829158114,177.73307463602245,"{""ippe0|ippe0"": 7, ""ippe0|ippe1"": 1, ""ippe1|ippe0"": 1}"
4->1,4,6,0.6666666666666666,1.156439693926512,0.3080905942852454,44.13652600502805,3.527429327515548,"{""ippe0|ippe0"": 4}"
4->3,8,8,1.0,3.8018752337095485,0.45703731758971056,48.218270806950954,91.51342732496154,"{""ippe0|ippe1"": 1, ""ippe0|ippe0"": 6, ""ippe1|ippe1"": 1}"
